,zip,city,cases,n_killed,n_injured,population,rate,High school or higher,Bachelor or higher,poverty,unemployment
1570,19947,Rochester,3.0,0.0,0.0,19625.0,0.15286624203821655,78.3,14.8,14.6,5.8
1571,19950,Rochester,1.0,0.0,0.0,7904.0,0.12651821862348178,80.0,11.0,23.7,9.9
1572,19951,Rochester,1.0,0.0,0.0,2016.0,0.49603174603174605,88.8,32.0,7.1,8.3
1573,19952,Rochester,2.0,0.0,0.0,10301.0,0.19415590719347636,88.0,15.3,16.2,6.0
1574,19955,Rochester,1.0,2.0,2.0,42.0,23.809523809523807,48.5,0.0,19.0,5.9
1575,19956,Rochester,3.0,1.0,1.0,14739.0,0.2035416242621616,83.9,14.1,15.5,9.4
1576,19958,Rochester (Gates),2.0,0.0,0.0,24183.0,0.08270272505479055,92.6,35.8,6.6,7.2
1577,19960,Rochester,2.0,0.0,0.0,6466.0,0.30931023816888337,86.5,16.7,10.8,6.7
1578,19962,Rochester,3.0,0.0,0.0,11466.0,0.26164311878597596,91.2,29.9,9.3,6.7
1579,19963,Rochester,5.0,1.0,1.0,20730.0,0.241196333815726,87.2,22.7,11.5,4.2
1580,19966,Rochester,2.0,0.0,0.0,28462.0,0.07026913077085237,84.7,18.6,13.2,6.5
1581,19968,Rochester,3.0,1.0,1.0,10402.0,0.2884060757546626,92.4,34.3,9.1,2.8
1582,19970,Rochester,1.0,0.0,0.0,8165.0,0.12247397428046541,93.8,36.4,7.8,5.1
1583,19971,Rochester,3.0,0.0,0.0,13090.0,0.2291825821237586,96.2,49.8,7.7,4.5
1584,19973,Rochester,6.0,1.0,1.0,24976.0,0.2402306213965407,82.0,16.4,15.1,5.7
1585,19975,Rochester,1.0,0.0,0.0,9285.0,0.10770059235325793,86.6,26.5,7.7,4.1
1586,19977,Rochester,3.0,0.0,0.0,25686.0,0.116795141322121,84.9,20.5,9.1,5.1
1587,20001,Rochester,70.0,2.0,2.0,45925.0,1.5242242787152969,90.4,65.7,16.1,5.6
1588,20002,Rochester,109.0,6.0,6.0,61787.0,1.7641251395924709,90.8,58.5,15.7,6.6
1589,20003,Rochester,32.0,1.0,1.0,30259.0,1.0575366006807891,93.9,72.9,11.8,5.2
1590,20004,Rochester,4.0,0.0,0.0,1717.0,2.3296447291788,100.0,93.5,5.8,4.3
1591,20005,Rochester,7.0,0.0,0.0,13234.0,0.5289406075260692,93.6,75.9,11.1,2.9
1592,20006,Rochester,3.0,0.0,0.0,2780.0,1.0791366906474822,99.2,92.4,42.5,9.7
1593,20007,Rochester,4.0,0.0,0.0,27142.0,0.14737307493920862,97.6,86.6,11.9,4.5
1594,20008,Rochester,6.0,1.0,1.0,29527.0,0.20320384732617602,98.9,89.6,6.4,2.5
1595,20009,Rochester,37.0,2.0,2.0,51542.0,0.7178611617709829,93.2,79.3,10.9,4.2
1596,20010,Rochester,36.0,2.0,2.0,33654.0,1.0697093956141914,82.5,58.3,12.5,5.6
1597,20011,Rochester,69.0,10.0,10.0,67257.0,1.0259155180873365,85.1,40.3,12.8,7.2
1598,20012,Rochester,6.0,1.0,1.0,15221.0,0.39419223441298207,92.9,60.0,8.7,8.8
1599,20015,Rochester,2.0,0.0,0.0,15878.0,0.12596044841919637,98.0,86.6,4.9,4.3
1600,20016,Rochester,8.0,0.0,0.0,34904.0,0.22920009168003666,97.8,86.9,9.8,4.8
1601,20017,Rochester,20.0,2.0,2.0,19993.0,1.0003501225428901,90.6,50.3,12.7,10.5
